12,0.375,0.44,0.03125,32
12,0.375,0.44,0.0625,32
12,0.375,0.44,0.09375,32
12,0.375,0.44,0.125,32
12,0.375,0.44,0.15625,32
12,0.375,0.44,0.1875,32
12,0.375,0.44,0.21875,32
12,0.5,0.58,0.03125,24
12,0.5,0.58,0.0625,24
12,0.5,0.58,0.09375,24
12,0.5,0.58,0.125,24
12,0.5,0.58,0.15625,24
12,0.5,0.58,0.21875,24
12,0.5,0.58,0.25,24
12,0.5,0.58,0.28125,24
16,0.667,0.75,0.03125,24
16,0.667,0.75,0.0625,24
16,0.667,0.75,0.09375,24
16,0.667,0.75,0.125,24
16,0.667,0.75,0.15625,24
16,0.667,0.75,0.1875,24
16,0.667,0.75,0.21875,24
16,0.667,0.75,0.28125,24
16,0.667,0.75,0.3125,24
20,0.833,0.92,0.03125,24
16,0.667,0.75,0.0625,24
16,0.667,0.75,0.09375,24
16,0.667,0.75,0.125,24
16,0.667,0.75,0.15625,24
16,0.667,0.75,0.1875,24
16,0.667,0.75,0.21875,24
16,0.667,0.75,0.28125,24
16,0.667,0.75,0.3125,24
24,1,1.08,0.375,24
12,0.6,0.7,0.3125,20
16,0.8,0.9,0.15625,20
20,1,1.1,0.5625,20
12,0.75,0.88,0.03125,16
16,1,1.13,0.15625,16
20,1.25,1.38,0.15625,16
24,1.5,1.63,0.15625,16
12,1,1.17,0.15625,12
16,1.333,1.5,0.15625,12
24,2,2.17,0.15625,12
