dirname,UUID_Part,x_dims,y_dims,z_dims,area,volume,va_ratio
G:\My Drive\CAD Repository\Thumb_Screws\STEP,32646ae1-957f-40a9-b37f-ff4a9a245e89.stp,20.086,27.959999999999997,8.486666666666684,870.5757566798578,938.9797943487272,1.0785733316647181
G:\My Drive\CAD Repository\Thumb_Screws\STEP,043bc137-9322-4e90-8a80-3dc130ba090c.stp,47.3275,34.94499999999999,10.603333333333318,1629.4579010080295,2061.7274728092502,1.2652842835238678
G:\My Drive\CAD Repository\Thumb_Screws\STEP,4265df48-abfd-4c97-aaa1-3583c62e08d1.stp,37.262750000000004,41.92999999999999,12.72,1981.1444780119623,3041.6662325529487,1.5353076296612138
G:\My Drive\CAD Repository\Thumb_Screws\STEP,467a4489-bbd6-47a6-b663-9f02e5377470.stp,45.486000000000004,27.959999999999997,8.486666666666684,1248.3768530949521,1386.1602841095087,1.1103700622716342
G:\My Drive\CAD Repository\Thumb_Screws\STEP,5f0291f4-5d2e-4ed1-ad98-f67bc33980b4.stp,23.261000000000003,27.959999999999997,8.486666666666684,917.8008937317447,994.8773555688249,1.0839795018325709
G:\My Drive\CAD Repository\Thumb_Screws\STEP,40614a47-0c37-4241-8250-decc4cb30c2b.stp,40.97749999999999,34.94499999999999,10.603333333333318,1535.007626904256,1949.9323503690548,1.2703079230307166
G:\My Drive\CAD Repository\Thumb_Screws\STEP,3c5841c9-2266-45d5-9ed6-79f8a5c8c01f.stp,30.91275,41.92999999999999,12.72,1886.6942039081887,2929.871110112753,1.5529125515113564
G:\My Drive\CAD Repository\Thumb_Screws\STEP,1fe76547-6f95-4fa7-b9be-a8bb39ee519c.stp,26.436,27.959999999999997,8.486666666666684,965.0260307836314,1050.7749167889226,1.088856552331195
G:\My Drive\CAD Repository\Thumb_Screws\STEP,11ba728f-d3c2-4aca-aca1-bb16ba8bb45f.stp,31.4525,34.94499999999999,10.603333333333318,1393.3322157485954,1782.239666708762,1.2791204039958397
G:\My Drive\CAD Repository\Thumb_Screws\STEP,20bea8fe-5a93-425e-872f-9bf56ed1c080.stp,32.786,27.959999999999997,8.486666666666684,1059.476304887405,1162.5700392291178,1.0973063143235366
G:\My Drive\CAD Repository\Thumb_Screws\STEP,0b14dd84-1720-48b1-96a7-4b9c23180bfe.stp,16.911,27.959999999999997,8.486666666666684,823.3506196279711,883.0822331286298,1.0725469952614455
G:\My Drive\CAD Repository\Thumb_Screws\STEP,6e29d526-b375-4443-a3fb-e1da07de4610.stp,32.786,27.959999999999997,8.486666666666684,1059.476304887405,1162.5700392291178,1.0973063143235366
